Season,Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Honors,Contract Age
2011,1.0,Kevin Durant,23.0,OKC,SF,66.0,66.0,2546.0,643.0,1297.0,0.496,133.0,344.0,0.387,510.0,953.0,0.535,0.547,431.0,501.0,0.86,40.0,487.0,527.0,231.0,88.0,77.0,248.0,133.0,1850.0,0.0,"MVP-2,AS,NBA1",1
2011,3.0,Kobe Bryant,33.0,LAL,SG,58.0,58.0,2232.0,574.0,1336.0,0.43,87.0,287.0,0.303,487.0,1049.0,0.464,0.462,381.0,451.0,0.845,66.0,247.0,313.0,264.0,69.0,18.0,204.0,105.0,1616.0,0.0,"MVP-4,AS,NBA1,DEF2",1
2011,21.0,Pau Gasol,31.0,LAL,PF,65.0,65.0,2430.0,459.0,917.0,0.501,7.0,27.0,0.259,452.0,890.0,0.508,0.504,204.0,261.0,0.782,183.0,495.0,678.0,237.0,37.0,88.0,142.0,127.0,1129.0,1.0,,1
2011,26.0,Tony Parker,29.0,SAS,PG,60.0,60.0,1923.0,427.0,890.0,0.48,14.0,61.0,0.23,413.0,829.0,0.498,0.488,227.0,284.0,0.799,22.0,149.0,171.0,463.0,57.0,5.0,153.0,75.0,1095.0,0.0,"MVP-5,AS,NBA2",1
2011,64.0,Jared Dudley,26.0,PHO,SG,65.0,60.0,2020.0,312.0,643.0,0.485,80.0,209.0,0.383,232.0,434.0,0.535,0.547,119.0,164.0,0.726,95.0,206.0,301.0,112.0,49.0,19.0,72.0,107.0,823.0,0.0,,1
2011,73.0,Mike Conley,24.0,MEM,PG,62.0,61.0,2174.0,296.0,684.0,0.433,60.0,159.0,0.377,236.0,525.0,0.45,0.477,136.0,158.0,0.861,22.0,134.0,156.0,404.0,136.0,11.0,125.0,133.0,788.0,0.0,DPOY-14,1
2011,106.0,Joakim Noah,26.0,CHI,C,64.0,64.0,1945.0,249.0,490.0,0.508,0.0,1.0,0.0,249.0,489.0,0.509,0.508,154.0,206.0,0.748,242.0,387.0,629.0,160.0,41.0,92.0,92.0,162.0,652.0,1.0,DPOY-11,1
2011,229.0,Zach Randolph,30.0,MEM,PF,28.0,8.0,735.0,132.0,285.0,0.463,2.0,8.0,0.25,130.0,277.0,0.469,0.467,58.0,88.0,0.659,78.0,147.0,225.0,48.0,21.0,4.0,40.0,57.0,324.0,0.0,6MOY-11,1
2011,250.0,Nick Collison,31.0,OKC,PF,63.0,0.0,1307.0,120.0,201.0,0.597,0.0,1.0,0.0,120.0,200.0,0.6,0.597,44.0,62.0,0.71,119.0,155.0,274.0,82.0,33.0,28.0,61.0,153.0,284.0,0.0,,1
2011,313.0,Nazr Mohammed,34.0,OKC,C,63.0,1.0,692.0,79.0,169.0,0.467,0.0,1.0,0.0,79.0,168.0,0.47,0.467,13.0,23.0,0.565,59.0,111.0,170.0,14.0,20.0,37.0,26.0,101.0,171.0,0.0,,1
2011,336.0,Al Horford,25.0,ATL,C,11.0,11.0,348.0,57.0,103.0,0.553,0.0,1.0,0.0,57.0,102.0,0.559,0.553,22.0,30.0,0.733,26.0,51.0,77.0,24.0,10.0,14.0,16.0,21.0,136.0,0.0,,1
2012,1.0,Kevin Durant,24.0,OKC,SF,81.0,81.0,3119.0,731.0,1433.0,0.51,139.0,334.0,0.416,592.0,1099.0,0.539,0.559,679.0,750.0,0.905,46.0,594.0,640.0,374.0,116.0,105.0,280.0,143.0,2280.0,3.0,"MVP-2,AS,NBA1",2
2012,2.0,Kobe Bryant,34.0,LAL,SG,78.0,78.0,3013.0,738.0,1595.0,0.463,132.0,407.0,0.324,606.0,1188.0,0.51,0.504,525.0,626.0,0.839,66.0,367.0,433.0,469.0,106.0,25.0,287.0,173.0,2133.0,2.0,"MVP-5,AS,NBA1",2
